feature,col_key,pearson_r,pearson_p,spearman_rho,spearman_p
孕周 (GA),GA,0.12656002844735784,2.9795639953541563e-05,0.08428675276902133,0.0055330486404856286
孕妇BMI,孕妇BMI,-0.15129981392456496,5.736662841941697e-07,-0.15495941516592615,3.018672242238758e-07
孕妇年龄,年龄,-0.1193909001467903,8.258709162389016e-05,-0.11720094019880418,0.00011152318585615413
孕妇身高,身高,-0.10465062664355511,0.0005650770230304535,-0.10112886401612817,0.0008647006231826148
孕妇体重,体重,-0.1806009455711049,2.1900831109745635e-09,-0.16697018963604288,3.299411462457054e-08
原始读段数,原始读段数,-0.10994105590057228,0.00029099909898379003,-0.08598906895682422,0.00464783535463098
比对比例,在参考基因组上比对的比例,-0.10549656894995266,0.0005091950260165386,-0.15943210693349455,1.3493241590853368e-07
重复读段比例,重复读段的比例,0.0916101970482851,0.002559086857076323,0.1058103196583375,0.0004898103586609589
唯一比对读段数,唯一比对的读段数,-0.09877320000236632,0.0011410297975046762,-0.06943907987737101,0.02235799041574383
GC含量,GC含量,-0.019352347606999398,0.5248446094354243,-0.016646062308148555,0.5844084746807454
过滤读段比例,被过滤掉读段数的比例,0.05992508220158677,0.04876340822472263,0.0860377141892331,0.004624537062341289
生产次数,生产次数,0.02535099099828397,0.40481110000669185,-0.007174227357272157,0.8136517863614734
