feature,importance
X染色体浓度,0.19158445713543762
13号染色体的GC含量,0.07359868890003625
18号染色体的GC含量,0.06175997057735117
孕妇BMI,0.060327869510318745
GC_diff_13,0.0508735019093198
21号染色体的GC含量,0.04762576653645262
GC_diff_18,0.04632670692478111
GC_diff_21,0.039245568208874704
GA,0.03913382348600849
体重,0.0389593753825449
年龄,0.03798078874574587
GC含量,0.03621595382435357
18号染色体的Z值,0.0305053896359814
被过滤掉读段数的比例,0.029110798982686384
21号染色体的Z值,0.029075958548274702
13号染色体的Z值,0.0290067438620614
重复读段的比例,0.027686183961800205
X染色体的Z值,0.02535225989624802
身高,0.024219721326965638
unique_ratio,0.021376591990996174
在参考基因组上比对的比例,0.02049317041687276
唯一比对的读段数,0.020183740993772258
原始读段数,0.01935696924311627
